createdAt, favoriteCount, favorited, latitude, longitude, id, lang, country, countryCode, text, userId, userFollowersCount, userFriendsCount, strength
Wed Jun 11 00:50:28 GMT-03:00 2014, 0, false, null, null,476572145724583936, en, null, null, @______RICHARD ikr like miami heat... :(, 38643020, 781,439, POSITIVE
Wed Jun 11 00:50:28 GMT-03:00 2014, 0, false, null, null,476572147070943232, en, null, null, Yeaaa Miami Heat go f*ck yourself, 298275211, 128,83, POSITIVE
Wed Jun 11 00:50:28 GMT-03:00 2014, 0, false, null, null,476572147251294208, en, null, null, RT @abcgrandstand: San Antonio Spurs have beaten Miami Heat 111-92 to take a 2-1 lead in the NBA Finals series #NBAFinals, 255420412, 419,338, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572147960131584, en, null, null, RT @guardian_sport: NBA Finals: San Antonio Spurs 111-92 Miami Heat (Spurs lead series 2-1) http://t.co/Z3X4UPmDtZ via @guardian, 2148542271, 383,1906, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572148199608321, en, null, null, Lebron doesn't sucks greatest player right now besides Kobe but the Miami heat as a team fucking sucks let be clear, 233462918, 765,562, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572148161470464, en, null, null, Sorry Heat fans in Miami leaving the game during half of the 4th quarter. #FakeFans #SpursNation, 305999952, 195,215, NEGATIVE
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572148245356544, en, null, null, RT @CrystalBosset: If this ain't the fuckin truth??RT @BasketballPics: The NBA vs The Miami Heat! http://t.co/pmHkKPCh6I, 300327073, 10276,592, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572148375363584, en, null, null, RT @TedPylon: 2-1 na to para sa SA Spurs! Sorry butthurt Miami Heat fans. #SouthBeachMassacre #BeatTheHeat, 1133846347, 133,148, NEGATIVE
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572148589674496, en, null, null, RT @bugattibeez: *waits for Heat fans new excuse as to why Miami lost*, 393062305, 1355,1423, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572150175113216, en, null, null, “@hrcv__: Miami Heat hasta que se valla LBJ”?, 1099730718, 282,346, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572150095032321, en, null, null, RT @guardian_sport: NBA Finals: San Antonio Spurs 111-92 Miami Heat (Spurs lead series 2-1) http://t.co/Z3X4UPmDtZ via @guardian, 53348413, 310,463, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572150229254144, en, null, null, RT @ArtificialChris: Miami fans giving up. If you can't stand the Heat get out of the arena. @PuroSanAntonio @SpursNationSA #NBAFinals, 127013127, 647,1285, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572150837440512, en, null, null, Too bad the AC didn't break! Now Miami has no excuse of loosing! Hahaha #spurs #Heat #HeatvsSpurs #NBAFinals, 2212955581, 47,73, POSITIVE
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572150955257856, en, null, null, RT @AP_Sports: BREAKING: San Antonio Spurs beat Miami Heat 111-92 take 2-1 lead in #NBAFinals, 179096569, 172,498, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572151311368192, en, null, null, RT @DreamChaser80_: What's the excuse now to the Miami Heat and there fans & Dj Khaled? #SpursNation #DriveForFive ??????, 724859232, 399,490, NEUTRAL
Wed Jun 11 00:50:29 GMT-03:00 2014, 0, false, null, null,476572151420432384, en, null, null, Great win by the @spurs dominated the heat in Miami. And some nice contributions from @Patty_Mills #NBAFinals, 328397859, 153,315, NEGATIVE
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572152469422080, en, null, null, RT @SportsSturm: If I could create a fan base designed to invite ridicule I could not do better than the Miami Heat fans have done organic…, 57830060, 21,101, NEUTRAL
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572152917803009, en, null, null, RT @ShowTimeDeonta: The Miami heat just got they ass hooped, 1630585477, 627,593, NEUTRAL
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572153631211522, en, null, null, RT @TheCoolFelipe: I deadass think the real diehard Heat fans aren't even from Miami., 356388730, 655,471, NEUTRAL
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572153773453312, en, null, null, RT @3ringsWade: Miami Heat will respond they always do. Not worried., 48573124, 749,777, NEUTRAL
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572153685360640, en, null, null, RT @Talk_NBA_: Kawhi Leonard and the San Antonio Spurs DOMINATE the Miami Heat to take Game 3 of the NBA Finals http://t.co/FvxEjmcth1, 1714246578, 149,268, NEGATIVE
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572154113589248, en, null, null, RT @MiamiHEAT: #HEATFinals: @DwyaneWade sinks a floater to bring Miami to within single digits! HEAT down 81-72., 2404789687, 30,32, NEUTRAL
Wed Jun 11 00:50:30 GMT-03:00 2014, 0, false, null, null,476572154105200640, en, null, null, RT @NBAsphera: FINAL || San Antonio #Spurs 111-92 Miami #Heat.  Los de Gregg Popovich ponen el 2-1 en la serie. Career-high de Kawhi Leonar…, 280195598, 378,793, NEUTRAL
