createdAt, favoriteCount, retweetCount, latitude, longitude, id, lang, country, countryCode, text, userId, userFollowersCount, userFriendsCount, strength
Sun Jun 29 20:01:16 ART 2014, 0, 2, -22.641026, -43.238233,483384736698880000, en, Brasil, BR, "@SportsCenter: LOS TICOS AVANZAN! Costa Rica outscores Greece in penalties advances to quarterfinals of World Cup for first time. http:/, 346259447, 333,1085, NEUTRAL
Mon Jun 30 20:29:00 ART 2014, 0, 0, null, null,483754103743733761, en, null, null, Brazil vs Columbia Costa Rica vs Holland France vs Germany Argentina/Switzerland vs Belgium/USA #WorldCup2014 #QuarterFinals, 2655250187, 4,10, NEUTRAL
Mon Jun 30 20:26:00 ART 2014, 0, 1, null, null,483753347011584000, en, null, null, ¦ http://t.co/Z62MCFTNop 335 ¦ Costa Rica vs Greece: live ¦ I ve been to Greece six times and Costa Rica only once (would love to return s…, 2285315834, 4079,3352, POSITIVE
Mon Jun 30 05:00:13 ART 2014, 127, 184, null, null,483520367655268354, en, null, null, Costa Rica celebrating qualifying for the quarter finals of the World Cup for the first time ever. #CRC http://t.co/AKvhBRRZgy, 462312323, 152248,324, POSITIVE
Mon Jun 30 20:29:08 ART 2014, 0, 0, null, null,483754137893756929, en, null, null, Have to feel for Greece. played Excellently against costa Rica. they made it further than england spain italy. respect to Greece., 2563929715, 1,24, POSITIVE
Mon Jun 30 20:29:10 ART 2014, 0, 0, null, null,483754144012840960, en, null, null, 2014 FIFA World Cup Brazil - Netherlands vs Costa Rica Gameplay [HD] http://t.co/jkeNEWZqjf http://t.co/ARouNgKEL8, 2185188572, 47,10, NEUTRAL
Mon Jun 30 20:29:12 ART 2014, 0, 0, null, null,483754151826833409, en, null, null, ¦ 335 ¦ Costa Rica vs Greece: live ¦ I ve been to Greece six times and Costa Rica only once (would love to... http://t.co/4H25V360BS, 2300598193, 981,1378, POSITIVE
Mon Jun 30 20:29:15 ART 2014, 0, 0, null, null,483754166116823041, en, null, null, ¦ 335 ¦ Costa Rica vs Greece: live ¦ I ve been to Greece six times and Costa Rica only once (would love to... http://t.co/xUseloMyu4, 1681705459, 1046,1096, POSITIVE
Mon Jun 30 20:28:05 ART 2014, 0, 1, null, null,483753872021020672, en, null, null, World Cup 2014: #Costa Rica's fairy tale can continue against #Holland says Paulo Wanchope http://t.co/cxgDJwMU6e, 2360036126, 2387,17, NEUTRAL
Mon Jun 30 20:30:12 ART 2014, 0, 0, null, null,483754403695177728, en, null, null, http://t.co/bzLzcmSxwR BREAKING NEWS 947 Costa Rica Costa Rica v Greece: World Cup 2014 – live! sofiaorden  #android #repair, 2287659854, 3111,2805, NEUTRAL
Mon Jun 30 20:30:18 ART 2014, 0, 0, null, null,483754431192629248, en, null, null, Costa Rica are my predicted winners of this year's World Cup! http://t.co/rJLI89VUoK @SequenceAgency #WorldCup #CRC Hay que bonito sitio :3, 22119788, 84,182, POSITIVE
Mon Jun 30 12:16:59 ART 2014, 0, 1, null, null,483630282138857472, en, null, null, 25 photos from Costa Rica’s all-night-long celebration after the Ticos beat Greece — The Tico Times - http://t.co/Np56EA17gy #CRC, 2336633354, 277,273, NEUTRAL
Mon Jun 30 08:52:13 ART 2014, 70, 61, null, null,483578750575972352, en, null, null, Thank god Costa Rica are still at the World Cup!... http://t.co/2y7ow2Z4lp, 955805444, 65136,20, POSITIVE
Mon Jun 30 20:26:01 ART 2014, 0, 1, null, null,483753351134576641, en, null, null, Ontario CAN Sudbury » http://t.co/VxzxCFxa6O 864 FIFA World Cup: Costa Rica 1 Greece 1 (5-3 pen) Costa Rica vanisan24  #recipe #olive #smo…, 2285379554, 2554,1673, NEUTRAL
Mon Jun 30 20:30:27 ART 2014, 0, 0, null, null,483754468010246145, en, null, null, @MenInBlazers Costa Rica will be in World Cup final 5, 71168980, 38,122, NEUTRAL
Mon Jun 30 20:31:03 ART 2014, 0, 0, null, null,483754618472910848, en, null, null, Costa Rica vs. Greece 2014 World Cup preview :Will anyone seize the initiative? - http://t.co/DfCg8sKZYI #NBA, 2376273818, 920,1760, NEUTRAL
Mon Jun 30 20:31:34 ART 2014, 0, 0, null, null,483754749947150336, en, null, null, “@liviubird: Last call for my tactical feature on three-back systems at the World Cup from this morning: http://t.co/m4vkDF3Gfg.” Good read, 412384746, 179,692, NEUTRAL
Mon Jun 30 10:37:23 ART 2014, 1970, 418, null, null,483605219339956224, en, null, null, For a country of 5million people. Amazing example of what teamwork can do. Congrats Costa Rica. #worldcup, 1925157330, 392563,73, NEUTRAL
Mon Jun 30 20:15:59 ART 2014, 0, 1, null, null,483750826247479297, en, null, null, ⚽ World Cup Quarter-finals ⚽  Brazil v Colombia  France v Germany    Netherlands v Costa Rica  Argentina or Switzerland v USA or Belgium, 325340909, 18378,6764, NEGATIVE
Mon Jun 30 20:32:02 ART 2014, 0, 0, null, null,483754866481717248, en, null, null, Washington USA Vancouver http://t.co/N0lZBkmGxu BREAKING NEWS 723 Costa Rica vs Greece Costa Rica v Greece: World Cup 2014 – live! news24lh…, 2291824746, 2050,2027, NEUTRAL
Mon Jun 30 20:32:04 ART 2014, 0, 0, null, null,483754875071655936, en, null, null, #Quarterfinals !!!  #Brazil vs #Colombia  #Netherlands vs Costa Rica  #France vs #Germany  #WorldCup #joinin http://t.co/HtrTliNkMh, 934086186, 4981,19, NEGATIVE
Mon Jun 30 20:32:07 ART 2014, 0, 0, null, null,483754886061129728, en, null, null, Qu?bec CAN Longueuil » http://t.co/1qTGUJYkfy 476 FIFA World Cup gallery: Costa Rica vs Greece Costa Rica vanisan24  #ipad #free, 2285379554, 2554,1673, NEUTRAL
Mon Jun 30 20:32:07 ART 2014, 0, 0, null, null,483754888325640193, en, null, null, #Greece: Costa Rica vs Greece match report World Cup 2014: Umana converts decisive ...: The ... http://t.co/a9qOHMTDw7 #news #TrueGreece, 613465688, 127,143, NEUTRAL
Mon Jun 30 20:32:07 ART 2014, 0, 0, null, null,483754888963162113, en, null, null, #Greece: World Cup 2014: Ten-man Costa Rica stuns Greece in penalty-kick shootout: World Cup... http://t.co/0FBHhXH6Fc #news #TrueGreece, 613465688, 127,143, NEGATIVE
Mon Jun 30 20:32:08 ART 2014, 0, 0, null, null,483754890162733056, en, null, null, #Greece: World Cup 2014: Greece praises fallen heroes after Costa Rica heartache: The Greek ... http://t.co/Qfw03Fjb1T #news #TrueGreece, 613465688, 127,143, POSITIVE
Mon Jun 30 19:31:56 ART 2014, 0, 3, null, null,483739743281086464, en, null, null, Arsenal and Liverpool eye transfer of Costa Rica World Cup shootout hero Keylor Navas http://t.co/rZpQaGr98r, 485009631, 11219,5616, POSITIVE
Mon Jun 30 08:40:34 ART 2014, 0, 1, null, null,483575819910909952, en, null, null, Keylor Navas knew which way to dive for Costa Rica penalty heroics against Greece: Costa Rica's goalkeeping he... http://t.co/fEWS1MveLP, 61962693, 982,843, POSITIVE
Mon Jun 30 20:32:32 ART 2014, 0, 0, null, null,483754991622959104, en, null, null, @JairoArrieta25 how are u enjoying the World Cup? Costa Rica is moving on up there 😉 my boys in Germany 🇩🇪are as well 😁, 22236413, 124,222, NEUTRAL
Mon Jun 30 20:33:49 ART 2014, 0, 0, null, null,483755316161822720, en, null, null, #WorldCup2014 rounds a great leveller. No way #England are as good as Chile Mexico Colombia Costa Rica Algeria Uruguay or Nigeria #fact, 180325408, 81,166, NEUTRAL
Mon Jun 30 19:53:34 ART 2014, 2, 2, null, null,483745184421646336, en, null, null, Nobody outside Europe/South America has ever won World Cup. The only teams that still can change that this year? Costa Rica USA. #WorldCup, 82179741, 10357,944, NEUTRAL
Mon Jun 30 20:32:00 ART 2014, 0, 1, null, null,483754857837658112, en, null, null, ¦ http://t.co/P5o2qItPp4 486 ¦ Costa Rica 1 Greece 1 ¦ Costa Rica s goalkeeper Keylor Navas saves from Greece forward Fanis Gekas in the pe…, 2155178678, 1033,970, NEUTRAL
Mon Jun 30 20:34:09 ART 2014, 0, 0, null, null,483755398022062080, en, null, null, #WorldCup Greece vs. Costa Rica  1 - 1.  Highlights at - http://t.co/jPsvBmETmu, 2344372278, 10,24, NEUTRAL
Mon Jun 30 20:34:09 ART 2014, 0, 0, null, null,483755398948610048, en, null, null, ¦ 486 ¦ Costa Rica 1 Greece 1 ¦ Costa Rica s goalkeeper Keylor Navas saves from Greece forward Fanis Gekas in the... http://t.co/b42gEwxn5i, 2446112202, 1547,1514, NEUTRAL
Mon Jun 30 20:34:16 ART 2014, 0, 0, 18.432216, -77.559253,483755429214703616, en, Jamaica, JM, @FTBpro #France vs Germany Brazil vs ColumbiaNetherlands vs Costa Rica so will it be USA vs Argentina to complete the 8teams, 2357926268, 1,29, NEUTRAL
Mon Jun 30 20:34:45 ART 2014, 0, 0, null, null,483755551428726787, en, null, null, Haha I meant Argentina or Brazil.. Would also love Costa Rica to win the #WorldCup2014 ⚽️💚💛, 391280984, 14234,155, POSITIVE
Mon Jun 30 11:20:51 ART 2014, 0, 5, null, null,483616157598236672, en, null, null, Costa Rica's World Cup penalty shoot-out hero Keylor Navas is closing in on a move to Portugese giants Porto according to talkSPORT., 120100593, 25049,92, NEUTRAL
Mon Jun 30 20:35:43 ART 2014, 0, 0, null, null,483755791220867073, en, null, null, Washington USA Vancouver BREAKING NEWS 723 Costa Rica vs Greece Costa Rica v Greece: World Cup 2014 – live!... http://t.co/p5DEMww7op, 2411727115, 2029,1963, NEUTRAL
Mon Jun 30 20:35:49 ART 2014, 0, 0, null, null,483755817716310016, en, null, null, Washington USA Vancouver BREAKING NEWS 723 Costa Rica vs Greece Costa Rica v Greece: World Cup 2014 – live!... http://t.co/RPpoSfvfBj, 1661969502, 1251,1405, NEUTRAL
Sun Jun 29 19:58:18 ART 2014, 435, 1430, null, null,483383990800232450, en, null, null, Costa Rica are through to the Quarter finals of the World Cup for the first time in their history!! http://t.co/WRBl2FuhT6, 370536393, 784190,145, NEUTRAL
Mon Jun 30 20:35:57 ART 2014, 0, 0, null, null,483755853648904192, en, null, null, Washington USA Vancouver BREAKING NEWS 723 Costa Rica vs Greece Costa Rica v Greece: World Cup 2014 – live!... http://t.co/NFYT6es3ON, 1680191102, 796,729, NEUTRAL
Mon Jun 30 20:36:04 ART 2014, 0, 0, null, null,483755879984922624, en, null, null, Washington USA Vancouver BREAKING NEWS 723 Costa Rica vs Greece Costa Rica v Greece: World Cup 2014 – live!... http://t.co/AePzSWXVE4, 2420642647, 809,788, NEUTRAL
Mon Jun 30 20:36:05 ART 2014, 0, 0, null, null,483755886452543488, en, null, null, ¤ USA http://t.co/3klIp6qd7R 922 Costa Rica vs Greece World Cup 2014 live streaming: How to watch Costa Rica vs. Greece online news24lhot G…, 2291824746, 2050,2027, NEUTRAL
Mon Jun 30 20:36:08 ART 2014, 0, 0, null, null,483755896137203712, en, null, null, Hobby Lobby Zendaya Iggy Azalea Costa Rica vs Greece ... http://t.co/jLY0eBXi8b http://t.co/9Wm0EfYX9s, 302198862, 1022,2, NEUTRAL
Mon Jun 30 20:36:27 ART 2014, 0, 0, null, null,483755977993633794, en, null, null, Arsenal and Liverpool are keen on Costa Rica World Cup shootout hero Keylor Navas with the keeper having a £6.5m buyout clause at Levante., 261744740, 326,353, POSITIVE
Mon Jun 30 20:36:33 ART 2014, 0, 0, null, null,483756001628143616, en, null, null, @JPinellz @NickGiannoumis lost this one like greece lost to costa rica🙋 kk im done yo, 578747841, 369,316, POSITIVE
Thu May 29 08:49:16 ART 2014, 874, 3173, null, null,471981595889778688, en, null, null, If Costa Rica get through the group stage in the world cup i will chop my dick off and sell it on Ebay., 1031659680, 461,345, NEUTRAL
Mon Jun 30 20:36:43 ART 2014, 0, 0, null, null,483756045672521730, en, null, null, @ussoccer poster I made while I was streamin the Costa Rica game yesterday haha TEDDY!!! http://t.co/KlopQcmnGV, 125527304, 61,169, POSITIVE
Mon Jun 30 20:37:16 ART 2014, 0, 0, null, null,483756185095397377, en, null, null, Currently in production: "Costa Rica Beats Greece. Everyone Goes Nuts" #CRCvsGRE #WorldCup2014 #everyonegoesnuts, 567774276, 343,37, NEUTRAL
Mon Jun 30 20:37:43 ART 2014, 0, 0, null, null,483756297066909697, en, null, null, France Germany Netherlands Costa Rica Columbia & Brazil made it to the quarter finals!! 2 spots left!!, 337433458, 144,124, NEGATIVE
Mon Jun 30 20:37:44 ART 2014, 0, 0, null, null,483756302292643841, en, null, null, @Ese_Martin75 Colombia Costa Rica  or the US.. But for teams that have won brasil germany or Argentina, 1072801742, 392,276, NEUTRAL
Mon Jun 30 20:37:48 ART 2014, 0, 0, null, null,483756318973788160, en, null, null, ᴴᴰ Netherlands vs Costa Rica • World Cup 2014 [Promo] http://t.co/fmMolY3O6m, 77623748, 26,10, NEUTRAL
Mon Jun 30 15:20:06 ART 2014, 3, 1, 60.530715, 16.29829,483676366093955072, en, Sverige, SE, #CRC 💙💖💙 "@Awaydays23: Costa Rica celebrate going through to the next round after beating Greece yesterday http://t.co/xxCsG6dbct", 189475142, 718,909, POSITIVE
Sun Jun 29 20:01:13 ART 2014, 0, 2, null, null,483384722677301249, en, null, null, #CRCGRE Costa Rica didn't deserve this.... Greece did!, 400168864, 357,497, NEUTRAL
Mon Jun 30 20:38:05 ART 2014, 0, 0, null, null,483756388431036416, en, null, null, • http://t.co/d6k9TMLNMs • Costa Rica 325 • Costa Rica 0-0 Greece World Cup 2014 LIVE: Minnows kick-off in bid to fa… http://t.co/24RuqYx5y5, 2285379554, 2554,1673, NEUTRAL
Mon Jun 30 20:38:14 ART 2014, 0, 0, null, null,483756425974661120, en, null, null, Celebrating great football teams! Free political #map of #CostaRica : http://t.co/pfMaI9bSZG http://t.co/6IxJv5e6mN, 1454843694, 25,65, NEUTRAL
Mon Jun 30 20:27:34 ART 2014, 2, 2, null, null,483753743440429056, en, null, null, Congratulations! Wyndham  official sponsor of Costa Rica's soccer team #CostaRica #WorldCup http://t.co/eZFwXqLMS9, 136728043, 315,757, NEUTRAL
Sun Jun 29 21:48:12 ART 2014, 6, 9, null, null,483411646287978497, en, null, null, WOW!! Costa Rica's World Cup reporter Jale Berahimi looks so hot in bikini. SEE HERE with match report >> http://t.co/EQk6Eb7v1i #CRC, 1080782130, 17010,233, NEUTRAL
