createdAt, favoriteCount, retweetCount, latitude, longitude, id, lang, country, countryCode, text, userId, userFollowersCount, userFriendsCount, strength
Mon Jun 30 23:11:27 ART 2014, 0, 0, null, null,483794986350022656, en, null, null, Germany 2 Algeria 1: Germans arrive in quarter-finals but later than expected: Germany made their way into the... http://t.co/s3Id56QoRn, 56377975, 600,1, NEUTRAL
Mon Jun 30 19:07:35 ART 2014, 37, 122, null, null,483733614820356097, en, null, null, An Algeria team where 16 out of 23 of them are fasting take Germany to extra time. Best World Cup ever., 53713812, 565,193, NEUTRAL
Mon Jun 30 19:33:46 ART 2014, 2343, 1767, null, null,483740203677646848, en, null, null, Wow one of the best games I've ever seen well done Germany but Algeria fought well! #WorldCup 🇩🇪, 411112055, 669821,267, POSITIVE
Mon Jun 30 17:50:32 ART 2014, 157, 148, null, null,483714222279630849, en, null, null, 1st half....Germany play no good looking football, 2273227202, 55879,36, NEUTRAL
Mon Jun 30 23:11:30 ART 2014, 0, 0, null, null,483794997129383937, en, null, null, Germany's Thomas Muller has some issues with the free kick #2014FifaWorldCup #SCnottop10 https://t.co/rslDpP3JlQ vía @vineapp, 217566365, 3,7, NEUTRAL
Mon Jun 30 17:47:45 ART 2014, 211, 486, null, null,483713523550130176, en, null, null, If Algeria beat Germany they will play France on July 5. The day Algeria celebrate independence from France. Bloody hell !!, 349592956, 89980,294, NEUTRAL
Mon Jun 30 23:01:31 ART 2014, 151, 127, null, null,483792485928296448, en, null, null, DAILY REVIEW: All the latest #WorldCup action as France and Germany earned tough wins - http://t.co/Ez8XXAI1Nh http://t.co/dDJU1SW0IM, 138372303, 2519718,473, NEGATIVE
Mon Jun 30 19:34:10 ART 2014, 462, 653, null, null,483740304839692289, en, null, null, Germany edge past Algeria 2-1 in extra time! They have reached the quarterfinals in every #WorldCup since 1954 http://t.co/jN6IDPyYjy, 890891, 742387,495, NEUTRAL
Mon Jun 30 20:42:20 ART 2014, 210, 214, null, null,483757457333055488, en, null, null, #Khedira's Germany beat Algeria (2-1) to go through to the quarter-finals of the World Cup. #WorldCup2014 http://t.co/7GbmSRCzlH, 452155423, 3747598,33, NEUTRAL
Mon Jun 30 23:00:45 ART 2014, 23, 28, null, null,483792290490904577, en, null, null, Germany unveiled their secret weapon against Algeria: crazy screaming boy  VINE: http://t.co/UoQnUrbxmj  #WorldCup http://t.co/iOw0m0BTDc, 237147973, 267735,390, NEUTRAL
